~virtuemart_order_id~^~product_sku~^~order_item_name~^~product_quantity~^~product_item_price~^~product_final_price~^~product_tax~
~49~^~CAR00004~^~CAR CHARGER 2 USB (2A+1A) 3000 MAH BLACK~^~2~^~8,20~^~10,00~^~1.80400~
~49~^~CAR00005~^~CAR CHARGER 2 USB 3000 MAH (2A+1A) WHITE~^~2~^~8,20~^~10,00~^~1.80400~
~49~^~CAR00015~^~CAR CHARGER MICRO USB (1A) + USB (2A)~^~2~^~8,20~^~10,00~^~1.80400~
~49~^~CAR00016~^~CAR CHARGER 30 PIN (2A) + USB (1A)~^~2~^~8,20~^~10,00~^~1.80400~
~49~^~CAR00017~^~CAR CHARGER 30 PIN (2A) + USB (1A)~^~2~^~8,20~^~10,00~^~1.80400~
~49~^~COV00001~^~COVER TPU PER I9100 S2 PLUS WHITE TRASP.~^~1~^~3,90~^~4,76~^~0.85800~
~49~^~COV00002~^~COVER TPU PER I9100 S2 / S2 PLUS  PINK~^~3~^~3,90~^~4,76~^~0.85800~
~49~^~COV00003~^~COVER TPU PER I9100 S2 / S2 PLUS LEMON~^~1~^~3,90~^~4,76~^~0.85800~
~49~^~COV00004~^~COVER TPU PER I9100 S2 PLUS LIGHT BLUE~^~1~^~3,90~^~4,76~^~0.85800~
~49~^~COV00005~^~COVER TPU PER I9100 S2 / S2 PLUS PURPLE~^~1~^~3,90~^~4,76~^~0.85800~
~49~^~COV00006~^~COVER TPU PER I9100 S2 / S2 PLUS BLUE~^~1~^~3,90~^~4,76~^~0.85800~
~49~^~COV00007~^~COVER TPU PER I9100 S2 / S2 PLUS BLACK~^~1~^~3,90~^~4,76~^~0.85800~
~49~^~COV00008~^~COVER TPU PER I9100 S2 / S2 PLUS MAGENTA~^~1~^~3,90~^~4,76~^~0.85800~
~49~^~COV00009~^~COVER TPU PER I9100 S2 PLUS PINK TRASP.~^~1~^~3,90~^~4,76~^~0.85800~
~49~^~COV00010~^~COVER TPU PER I9100 S2 PLUS BLACK TRASP.~^~1~^~3,90~^~4,76~^~0.85800~
~49~^~COV00011~^~COVER TPU PER I9100 S2 / S2 PLUS  WHITE~^~2~^~3,90~^~4,76~^~0.85800~
~49~^~COV00012~^~COVER TPU PER I9100 S2 PLUS BLUE TRASP.~^~1~^~3,90~^~4,76~^~0.85800~
~49~^~COV00013~^~COVER PC PER I9100 S2 PLUS BLUE TRASP.~^~1~^~5,90~^~7,20~^~1.29800~
~49~^~COV00014~^~COVER PC PER I9100 / S2 PLUS WHITE~^~1~^~5,90~^~7,20~^~1.29800~
~49~^~COV00015~^~COVER PC PER I9100 / S2 PLUS PURPLE~^~1~^~5,90~^~7,20~^~1.29800~
~49~^~COV00016~^~COVER PC PER I9100 / S2 PLUS PINK TRASP.~^~1~^~5,90~^~7,20~^~1.29800~
~49~^~COV00017~^~COVER PC PER I9100 S2 PLUS PURPLE TRASP.~^~1~^~5,90~^~7,20~^~1.29800~
~49~^~COV00018~^~COVER PC PER I9100 S2 PLUS WHITE TRASP.~^~1~^~5,90~^~7,20~^~1.29800~
~49~^~COV00019~^~COVER PC PER I9100 S2 / S2 PLUS BLACK~^~1~^~5,90~^~7,20~^~1.29800~
~49~^~COV00020~^~COVER PC PER I9100 / S2 PLUS LEMON~^~1~^~5,90~^~7,20~^~1.29800~
~49~^~COV00021~^~COVER PC PER I9100 S2 / S2 PLUS GREEN~^~1~^~5,90~^~7,20~^~1.29800~
~49~^~COV00022~^~COVER PC PER I9100 S2 PLUS LIGHT BLUE~^~1~^~5,90~^~7,20~^~1.29800~
~49~^~COV00023~^~COVER PC PER I9100 S2 / S2 PLUS PINK~^~1~^~5,90~^~7,20~^~1.29800~
